SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM6
Create Time: 2024-10-11, 17:27:34
Computer Name: VICTUS
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

158	17:26:26.771	0.00000650	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 19, Data: 00 00 00 08 29 00 00 00 00 00 00 00 00 00 00 00 00 47 0B 	
159	17:26:26.777	0.00008600	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
160	17:26:26.779	0.00000450	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
161	17:26:26.779	0.00192760	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
162	17:26:26.779	0.00000180	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 32, Data: 50 03 2E 0A 18 0E 09 2B 15 00 C7 F9 1E 02 86 03 1D 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	
163	17:26:26.780	0.00000150	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
164	17:26:26.780	0.00795190	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
165	17:26:26.780	0.00000170	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 19, Data: 00 00 00 08 29 00 00 00 00 00 00 00 00 00 00 00 00 C7 8B 	
166	17:26:26.786	0.00011330	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
167	17:26:26.788	0.00000160	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
168	17:26:26.788	0.00204000	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
169	17:26:26.788	0.00000180	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 32, Data: 50 03 2E 0A 18 0E 09 2B 15 00 D1 F9 18 02 8C 03 1F 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	
170	17:26:26.791	0.00000440	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
171	17:26:26.791	0.00740930	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
172	17:26:26.791	0.00000190	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 19, Data: 00 00 00 08 23 00 00 00 00 00 00 00 00 00 00 00 00 D4 08 	
173	17:26:26.796	0.00009770	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
174	17:26:26.798	0.00000170	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
178	17:26:26.800	0.00721730	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
179	17:26:26.800	0.00000900	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 19, Data: 00 00 00 08 36 00 00 00 00 00 00 00 00 00 00 00 00 D0 87 	
180	17:26:26.806	0.00010420	WitMotion.exe	IRP_MJ_WRITE                        	COM6	SUCCESS	Length: 8, Data: 50 03 00 30 00 17 08 4A 	
181	17:26:26.808	0.00000520	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
182	17:26:26.808	0.00209830	WitMotion.exe	IOCTL_SERIAL_WAIT_ON_MASK           	COM6	SUCCESS		
183	17:26:26.808	0.00000200	WitMotion.exe	IRP_MJ_READ                         	COM6	SUCCESS	Length: 32, Data: 50 03 2E 0A 18 0E 09 2B 15 00 E0 F9 1D 02 93 03 21 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 	
